==================================================================================================================================
RC4 CIPHER KNOWN-PLAINTEXT ATTACK METRICS (Sequential Mode)
==================================================================================================================================

Key Found: akey5
Key Length: 5
Total Files Processed: 70
Total Attack Time (Key Discovery): 955.139857 seconds
Total Decryption Time: 0.002239 seconds
Average Attack Time per File: 13.644855 seconds
Average Decryption Time per File: 0.000032 seconds

==================================================================================================================================
INDIVIDUAL FILE METRICS
==================================================================================================================================

File Name                 | Length   | Attack Time (s)  | Decrypt Time (s)  | Key        | Match  | Decrypted Text                
rc4-text-6.txt            | 10       | 13.827464        | 0.000031          | akey5      | ✓      | JuiJTItY8G                    
rc4-text-60.txt           | 10       | 14.078579        | 0.000030          | akey5      | ✓      | jRNwkJTQMl                    
rc4-text-61.txt           | 10       | 13.639828        | 0.000040          | akey5      | ✓      | TD7USV0nSe                    
rc4-text-62.txt           | 10       | 13.612627        | 0.000032          | akey5      | ✓      | 9b3mUXozva                    
rc4-text-63.txt           | 10       | 13.619352        | 0.000032          | akey5      | ✓      | 4LwLYg8atH                    
rc4-text-64.txt           | 10       | 13.692707        | 0.000032          | akey5      | ✓      | T5EbJ8H0Ed                    
rc4-text-65.txt           | 10       | 13.576352        | 0.000032          | akey5      | ✓      | pNLXUQBEWt                    
rc4-text-66.txt           | 10       | 13.611362        | 0.000030          | akey5      | ✓      | iT0f4QyUry                    
rc4-text-67.txt           | 10       | 13.625937        | 0.000031          | akey5      | ✓      | roDCJdgoGF                    
rc4-text-68.txt           | 10       | 13.641892        | 0.000034          | akey5      | ✓      | 7yY0MpAETr                    
rc4-text-69.txt           | 10       | 13.606973        | 0.000031          | akey5      | ✓      | 08n68uFmzA                    
rc4-text-7.txt            | 10       | 13.591518        | 0.000031          | akey5      | ✓      | ewA7huWJGZ                    
rc4-text-70.txt           | 10       | 13.638551        | 0.000032          | akey5      | ✓      | E1QLNtSD5A                    
rc4-text-8.txt            | 10       | 13.578424        | 0.000030          | akey5      | ✓      | F2rxO5pSEX                    
rc4-text-9.txt            | 10       | 13.590869        | 0.000033          | akey5      | ✓      | p1GJkp0o1J                    
==================================================================================================================================
